,User,Tweet,Time
23,JeankookR,RT @allkpop: #Weeekly's #Jiyoon to be absent from 'Play Game: AWAKE' comeback promotions due to anxiety https://t.co/GJ8zjSeDeQ https://t.c…,2022-02-28 11:04:16+00:00
24,LBRUT,RT @RCVS_Richmond: We are looking for a new Projects Officer to join our small but mighty team! Find out more here and apply by 15 March 20…,2022-02-28 11:04:16+00:00
25,sxleeknow,"RT @Stray_Kids: Stray Kids(스트레이 키즈) ""ODDINARY"" Main Trailer

2022.03.18 FRI 1PM (KST) | 0AM (EST)

https://t.co/jcpgFWXxg5

#StrayKids #스트레…",2022-02-28 11:04:16+00:00
26,EdwardMakYugann,"RT @EvgenyFeldman: канцлер Германии выступил, кажется, с очень важной, исторической, речью https://t.co/wVlEZSaEwC https://t.co/jNYDVZMOCC",2022-02-28 11:04:16+00:00
27,0qEt8EfFUAdSrNr,"RT @KingandPrince33: King &amp; Prince First DOME TOUR 2022 ～Mr.～
オフィシャルグッズオンライン販売決定！
🔗https://t.co/tYviN9Di7h

販売期間 : 3/2(水)〜5/31(火)23:00まで

#…",2022-02-28 11:04:16+00:00
28,odenkanP082,"RT @Natsukawa_Staff: #ヒヨコ群集合🐤💨

#夏川椎菜 2nd Live Tour 2022 MAKEOVER プレリクエスト先行は【本日 23:59】まで受付中🎫
お申込忘れがないようご注意下さいね⚠

前回のツアーで披露された「アンチテーゼ」を少しだけ公…",2022-02-28 11:04:16+00:00
29,YNuzban,RT @guardian: Denounce Putin or lose your job: Russian conductor Valery Gergiev given public ultimatum https://t.co/SA4j6OhDWn,2022-02-28 11:04:16+00:00
30,concisyfestis,"Conciertos de Bunbury en 2022. Una gira que ha pasado a ser de despedida tras anunciar el aragonés su retirada de los escenarios a su término 
https://t.co/LmHuEmzlan",2022-02-28 11:04:16+00:00
31,AobaCastle,RT @nhk_news: 都庁舎 ウクライナ国旗の色にライトアップ 都知事“連携示す” #nhk_news https://t.co/VTzP4PUrgh,2022-02-28 11:04:16+00:00
32,KsOllieU,"RT @HughSykes: #Ukraine 
Symbols on #Russia military vehicles: 
V - Marines
Z - Eastern Military District 
Z in a square - Southern Militar…",2022-02-28 11:04:16+00:00
33,jeong_daddy,"RT @stories_feed: stories #WeeBNK48 #BNK48_stories 

user tag:
 #PancakeBNK48 https://t.co/xLlgUYQSwy

https://t.co/huRXNCaJ8G

Mon Feb 28…",2022-02-28 11:04:16+00:00
34,edacnrr,"RT @TCKievBE: Değerli vatandaşlarımız,

Bugün (28.02.2022) saat 19.00’da Kiev’den Romanya sınırı yakınındaki Çernivtsi şehrine sadece vatan…",2022-02-28 11:04:16+00:00
35,OOmar4464,"RT @msharyalanzi: عشنا معاهم أيام .. ولمسنا حاجتهم .. وعرفنا معاناتهم ..
وجاء الوقت لنشهد فرحتهم ..
.. تخيل هذه الفرحة تتكرر في 100 قرية ..…",2022-02-28 11:04:16+00:00
36,sabamaru0,"RT @AskPS_JP: 【アフターサービス終了のお知らせ】
PlayStation®3のCECH-4300シリーズ本体および全てのPlayStation®3周辺機器につきまして、部品在庫の枯渇により2022年4月30日（土）をもってアフターサービスの受付を終了いたします。お…",2022-02-28 11:04:16+00:00
37,sekicnan,2022-02-28のツイ廃結果　平均ツイート間隔:1時間 30分 ランク外・最大ツイート間隔:10時間 24分 ランク外・最小ツイート間隔:00分 00秒 ランク外　ツイ廃ジャーv3.0　https://t.co/DquyMKBb2W,2022-02-28 11:04:16+00:00
38,mortorsortor,"RT @MayWongCNA: #Myanmar people supporting #Ukraine that's under attack by #Russia. Myanmar citizens, experiencing own hardships/displaceme…",2022-02-28 11:04:16+00:00
39,_sunkees,Ramadhan bersama dream lagi 😊,2022-02-28 11:04:16+00:00
40,YerimZwxrhjsky,"RT @Financialafrik: Le gouvernement égyptien envisage de lever 230,25 milliards de livres égyptiennes (près de 15 milliards USD) de bons de…",2022-02-28 11:04:16+00:00
41,profpolitica,"RT @TheMoonCarl: Will #Bitcoin hit $100,000 in 2022?

No           Maybe         Yes
👇            👇                👇",2022-02-28 11:04:16+00:00
42,Kotoful15z,"RT @bambi_amor4: 肉体があるから何かと不調はある
でも皆さんの肉体の中に入っているのは
皆さんの本体である魂のほんの一部の光です
ですからね
どうしたら今の体の状態を治したり
癒やしたりなんかできるのかって
いうことぐらいの知識は
実は誰でもあるんですな
htt…",2022-02-28 11:04:16+00:00
43,Ibnalwalidshuli,"@AlBayanNews Don't Trust Sudan i Tell You
And Don't Allow Them In World International Defense Show March 2022",2022-02-28 11:04:16+00:00
44,viruel_juan,RT @guidoprincesa: No se cansan de insultar a las mujeres que se niegan a someterse.,2022-02-28 11:04:16+00:00
45,www_teddyzbear,"RT @oumeim_jimin173: แจกคอนออนไลน์ วันที่ 10ให้ฟลว. 1คนค่ะ (รอบสด)
- เป็นแบบ single view                                 
- ประกาศผลวันที่8…",2022-02-28 11:04:16+00:00
46,yuki_usagi_0956,"Gina 2022 Spring 特別版
付録なし

　☪3/7発売

▼Amazon
https://t.co/mQgsyQZ8mg

◉表紙
#深澤辰哉(Snow Man)

#SnowMan
#ふっかさん
#Gina",2022-02-28 11:04:16+00:00
47,Rhyzhm,https://t.co/PONAp1L7W4,2022-02-28 11:04:16+00:00
48,anandapatel10,"RT @BMBCoin: 💥BMB  Pre-Sale 3 with a discount Bonus Live

⌛️ the end PRE SELL BMB
💢only 13 DAYS is left

🧭End Pre sell 
10 March 2022

✅ Po…",2022-02-28 11:04:16+00:00
49,wonhdaerland,"RT @fantagiomusic_: [#문빈_산하]
MOONBIN&amp;SANHA(ASTRO)
2nd Mini Album &lt;REFUGE&gt;
Concept Photo 🔮 THE EAST ver.

2022. 03. 15 RELEASE
#MOONBIN_SANH…",2022-02-28 11:04:16+00:00
50,minsugarsunshne,"RT @JYPEITZY_JP: ITZY JAPAN 1st SINGLE『Voltage』
2022.04.06 Release

#YUNA

#ITZY #Voltage #Spice https://t.co/K35gag2TKi",2022-02-28 11:04:16+00:00
51,Nikhles04590804,"Education News Network - The Daily News Live (28th February 2022)
https://t.co/iQ5r7vndDG
RBSE to conduct Class 12 Board exams from March 24, 2022...
#RBSE #greenwoodhighinternationalschools #Jharkhandschools #Delhischools #educationtoday https://t.co/VcJlF8qPYk",2022-02-28 11:04:16+00:00
52,tMajbVNMYkebDzk,"RT @shoujokaisen: 張飛UR+記念RTキャンペーン

勇猛無双の怪力之神、1人で万人の敵を薙ぎ払う【張飛】登場！
【開催期間】
2022年03月01日(火)11:10～2022年03月08日(火)09:59

【RT記念キャンペーン期間】
2022年02月28日…",2022-02-28 11:04:16+00:00
53,deeerstetae,RT @brikthv: I vote for #Butter for #BestMusicVideo at the 2022 #iHeartAwards @BTS_twt,2022-02-28 11:04:16+00:00
54,ChillosDoggo,"RT @BanounHelene: Par Marceau, qui ne peut plus s'exprimer sur l'oiseau bleu!

𝘀𝘂𝗶𝘃𝗶 𝗱𝗲 𝗹'𝗲𝘀𝘀𝗮𝗶 𝗰𝗹𝗶𝗻𝗶𝗾𝘂𝗲 𝗱𝗲 𝗠𝗢𝗗𝗘𝗥𝗡𝗔 à 6 mois...

https://t.…",2022-02-28 11:04:16+00:00
55,DuroBelinda,"RT @Julio_Rodr_: Bdía,
""Adoptar medidas eficaces contra el punto más débil de Putin exigiría enfrentarse a la propia corrupción de Occident…",2022-02-28 11:04:16+00:00
56,SKY1485_,"@kdyoungtr Open PO Comeback NCT DREAM Glitch Mode

Bisa Rolled poster dan No rolled poster ya
https://t.co/rAbdcVGO4c",2022-02-28 11:04:16+00:00
57,parkna__,"@bypalletsuga Park Jimin 

I vote #BTSARMY for #BestFanArmy at the 2022 #iHeartAwards",2022-02-28 11:04:16+00:00
58,carebrisfam5,"RT @Tea_Teya_: #OneWeekFriends movie new poster 💛

In theaters, April 2, 2022￼

New poster to commemorate CN's college entrance examination…",2022-02-28 11:04:16+00:00
59,flickeringmyth,Escape from Pretoria is out on DVD in the UK today; read our review here... https://t.co/XTKKU49A7m https://t.co/GZ6ZeEGFeT,2022-02-28 11:04:16+00:00
60,FPuggini,"RT @SMaurizi: 1.Writing in the Italian daily @fattoquotidiano,the Italian columnist,#BarbaraSpinelli(daughter of Spinelli,one of the foundi…",2022-02-28 11:04:16+00:00
61,am0810ms,"RT @ENHYPENANNX: 2/28 24:00(3/1 0:00)-
⛄#ENHYPEN の #オールナイトニッポンX⛄
今日のパートナーは #ONF #U さん😊
⚡️#smash.で映像&amp;限定アフタートークも配信👀
https://t.co/UpzhDTUAes…",2022-02-28 11:04:16+00:00
62,eminem500,🙋,2022-02-28 11:04:16+00:00
63,LEBZ_,3 pounts in the bag ❤,2022-02-28 11:04:16+00:00
64,chocobyyyy,"RT @NCTsmtown_DREAM: NCT DREAM The 2nd Album
〖Glitch Mode〗
➫ 2022.03.28 (KST)

#NCTDREAM #GlitchMode
#NCTDREAM_GlitchMode https://t.co/RTDS…",2022-02-28 11:04:17+00:00
65,testakitchensa1,"RT @eyebrowsborn: かのんちゃん、誕生日おめでとう！
新規絵用意出来なかったので、3/6新刊から夏音ちゃんのカット抜粋しました。 #小之森夏音生誕祭2022 https://t.co/GBAvKTaZTa",2022-02-28 11:04:17+00:00
66,mujtaba2x,"RT @AirdropAchiever: New Airdrop: MetaLuna
Value: $90,000 MLUNA
Rewards: 10,000 MLUNA ($100)
Referral: 5,000 MLUNA ($50)
End Date: 10th Mar…",2022-02-28 11:04:17+00:00
67,sj_kdn,"RT @ohrenjibuzz: [theqoo KDrama] Rookie Cops Ep 9&amp;10
https://t.co/LHA6Ur3MxI
#강다니엘 #KangDaniel #채수빈 #ChaeSoobin #너와나의경찰수업 #RookieCops https…",2022-02-28 11:04:17+00:00
68,meguko_goods,"RT @DtimesJP: 『うさたま大脱走』新コスチュームのミッキー＆ミニー！
東京ディズニーランド“ディズニー・イースター2022”スぬいぐるみバッジ
5月10日発売
うさたまは取り外しできます☆
詳細→https://t.co/nifDVmXHez",2022-02-28 11:04:17+00:00
69,AmaRichi2,"RT @CerfiaFR: 🇷🇺🇺🇦🇪🇺 FLASH | La #Russie affirme que les livraisons d’armes de l’#UE à l’#Ukraine sont dangereuses.

(Reuters) #UkraineRussia",2022-02-28 11:04:17+00:00
70,WinterBearStory,"RT @ARMY_VNFanbase: (B)
We vote #BTSARMY for #BestFanArmy at the 2022 #iHeartAwards (@BTS_twt) 🏆",2022-02-28 11:04:17+00:00
71,yuuui129426,"RT @KATTUN_0322: 2022.03.29 Release✨
New Album「Honey」より

KAT-TUN「Ain't Seen Nothig Yet」
Music Videoを公開しました！

#KATTUN
#Honey
#AintSeenNothin…",2022-02-28 11:04:17+00:00
72,sHEsAMeHeR1,"RT @metarobox: 🔥OFFICIAL PRESALE OPENING🔥

🎯BUY NOW: https://t.co/VTgZnZX51c

📎 Contract: 0xE833dC9b5A21daBC3ed8559858Caa92279aC54Dc 
📅Star…",2022-02-28 11:04:17+00:00
73,Purpleya_twt,RT @bypalletsuga: I vote #BTSARMY for #BestFanArmy at the 2022 #iHeartAwards,2022-02-28 11:04:17+00:00
74,aisuke111,"RT @little_wooo: #eBASEBALL #プロ野球スピリッツ 2021 グランドスラム

2021、2022シーズン版対応
2022/03/23 #パワプロ #プロスピ に #イチロー 登場
#イチローが抑えられない

#KONAMI #コナミ
#野球　#野球ゲ…",2022-02-28 11:04:17+00:00
75,rafael12h,"RT @CarmenYudithh: YO❤️CUMANÁ

¡Realmente hermoso evento!

Desfile de nuestras pequeñas participantes a Mini Reina del Carnaval Cumaná 2022…",2022-02-28 11:04:17+00:00
76,ArunKum51742655,"RT @shivpalsinghyad: दिनांक 2 मार्च 2022, दिन बुधवार को पूर्वाह्न 11:30 बजे राजकुमार महिला महाविद्यालय, रीठी, जौनपुर में विधान सभा क्षेत्र…",2022-02-28 11:04:17+00:00
77,H1963Jp,"RT @H1963Jp: @ayano_hara #はらあやの さん♨️
2022.2.12(土)
OP11:45 ST 12:00
#下北沢Laguna
2マンライブ
ライブ観覧
めっちゃ楽しみです😊😄 https://t.co/TEBZBfLejU",2022-02-28 11:04:17+00:00
78,Hipu_Happy_End2,2022-02-28のツイ廃結果　平均ツイート間隔:37分 50秒 ランク外・最大ツイート間隔:4時間 43分 ランク外・最小ツイート間隔:00分 07秒 ランク外　ツイ廃ジャーv3.0　https://t.co/dn8ZqvZTZK,2022-02-28 11:04:17+00:00
79,junmyeondiabao,"RT @fantagiomusic_: [#문빈_산하]
MOONBIN&amp;SANHA(ASTRO)
2nd Mini Album &lt;REFUGE&gt;
Concept Photo 🔮 THE EAST ver.

2022. 03. 15 RELEASE
#MOONBIN_SANH…",2022-02-28 11:04:17+00:00
80,TarasSEVCENKO2,"RT @epravda: Укроборонпром домовився з Генштабом ЗСУ про ремонт трофейної техніки
https://t.co/LpJ3ZOFWx4 https://t.co/HNTeZtzwIg",2022-02-28 11:04:17+00:00
81,jemohgh,Ukraine Faces 'Urgent 24 Hours' As Attack Seethes In Front Of Harmony Converses With Russia After Belarus Cautions Of World War 3. https://t.co/uAUaBPm2Sd via @templatesyard,2022-02-28 11:04:17+00:00
82,suzukimokuazika,"RT @aptx0915: 【青山先生とび森コメント記録】
#マサカズた村 2022年2月28日(月)更新分 https://t.co/pPqR4njjNl",2022-02-28 11:04:17+00:00
83,pQbmhDczVnKjwnE,ゼレンスキーのこの3年の政治についてのレポート。なるほどコロナ対策については上手くいかなかったのか。,2022-02-28 11:04:17+00:00
84,simpforjakey02,"RT @ENHYPENANNX: 2/28 24:00(3/1 0:00)-
⛄#ENHYPEN の #オールナイトニッポンX⛄
今日のパートナーは #ONF #U さん😊
⚡️#smash.で映像&amp;限定アフタートークも配信👀
https://t.co/UpzhDTUAes…",2022-02-28 11:04:17+00:00
85,MyTweets90,"RT @AnnayyaAbimani: ""పోలవరం గణ ప్రారంభం"" ❤️🇸🇱
రేపు అనగా... 29/02/2022 తేదీన.

COVID నిబంధనలు దృష్టిలో పెట్టుకొని అతి తక్కువ మంది హాజరు కావా…",2022-02-28 11:04:17+00:00
86,Lala2823,"RT @UnitedDaoUTD: We will be holding GIVEAWAYS from 1 MAR 2022 to commemorate our  Protocol Launch! 

WIN NFTs from  @AzukiZen , @KarafuruN…",2022-02-28 11:04:17+00:00
87,brouwgrlzs,"RT @lovemejhyunn: Giveaway ‼️
PC nct yuta mark sungchan hendery

Untuk 2 orang ya! 
RT like, komen dom &amp; mau PC yg mana

End : 1 maret 2022…",2022-02-28 11:04:17+00:00
88,HaouziNathan,"RT @RMCsport: 🔵🔴 On a retrouvé l'ADN du Barça, l'identité qui a fait de Barcelone une référence en football. À sa baguette Xavi, qui est en…",2022-02-28 11:04:17+00:00
89,mister_oceans,"RT @geloraco: Kru Film Minta Kecilkan Suara Toa Masjid karena Ganggu Syuting, Warga Tak Terima
https://t.co/Y4cC4WYAGI",2022-02-28 11:04:17+00:00
90,kuugashin,"RT @imas_official: 【シャニマス】「ホワイトデーキャンペーン2022 第1弾」を開催！ 期間限定アイドルを含む「ステップアップガシャ」の開催も！ 
#シャニマス #シャイニーカラーズ #idolmaster  
https://t.co/q9tefXBtFn",2022-02-28 11:04:17+00:00
91,Pornnaphat_bebe,"RT @NCTsmtown_DREAM: ‘K팝 최강자’ 출격! NCT DREAM, 정규 2집 ‘Glitch Mode’ 3월 28일 발매!
2022년도 거침없는 인기 질주 예고! 오늘부터 예약판매 시작!

https://t.co/hBAIMwpEz7

#…",2022-02-28 11:04:17+00:00
92,kusanagitubame,RT @sionsuzukaze: 【声明】ロシアによるウクライナ侵略を非難する決議について（れいわ新選組 2022年2月28日） https://t.co/JadwtdBjg1 れいわは明日の対ロ非難決議に反対するとのこと。理由はいくつか付されているが3つ目の理由は完全にロシ…,2022-02-28 11:04:17+00:00
93,theyhateamr,"RT @mimi_khouryy: 🇺🇦 Témoignage rassurant d’un ressortissant français à #Kiev , du coup Poutine vise uniquement les bases militaires appare…",2022-02-28 11:04:17+00:00
94,FehrHj,"@Ana_Partizanka #Ukraine #Biolabs:
https://t.co/uOqgxdpKEK
#Pandemie:
#WHO #COVID19 
https://t.co/Je3kHMgnM1",2022-02-28 11:04:17+00:00
95,MIN_KI_3,"RT @johnwakawaii: 【#AnimeJapan 2022追加情報!!】
TVアニメ「#吸血鬼すぐ死ぬ」スペシャルステージに追加キャスト決定!!

 🆕#田村睦心 #日岡なつみ #稲田徹 #土岐隼一

📅3/27 10:50～11:25
📍GREENステージ
👥#福…",2022-02-28 11:04:17+00:00
96,yuu_koririn,"RT @KURAND_INFO: フォロー＆リツイート #キャンペーン 
1⃣ @KURAND_INFO をフォロー
2⃣ この投稿をRT (2/27まで)

日本酒「理系兄弟」(通常版) を抽選で1名様にプレゼント🎁

さらに今なら【極】で【しぼりたて】の限定版が抽選応募受付…",2022-02-28 11:04:17+00:00
97,Fatihthedentist,"RT @TCKievBE: Değerli vatandaşlarımız,

Bugün (28.02.2022) saat 19.00’da Kiev’den Romanya sınırı yakınındaki Çernivtsi şehrine sadece vatan…",2022-02-28 11:04:17+00:00
98,marcelavelez,"Los cambios generados por la invasión Rusia en Ucrania. Hoy en #PrimerClick de @DFinanciero #podcast 
https://t.co/rdmTxy5Hsm",2022-02-28 11:04:17+00:00
99,RT96056354,"RT @kzusimmui: テクピクMV公開1周年に向けて変わらず聴いていくぞ😍🌈📸

#NiziU / #Chopstick / #Need_U / Take a picture / Super Summer / Poppin' Shakin' Step and a Ste…",2022-02-28 11:04:17+00:00
